"","biweek","date","den.cases.str1","den.cases.str2","den.cases.str3","den.cases.str4","births"
"94",16,1976-07-31,0,0,0,0,5176
"95",17,1976-08-14,0,0,0,0,5176
"96",18,1976-08-28,0,0,0,1,5176
"97",19,1976-09-11,0,1,0,1,5176
"98",20,1976-09-25,0,2,0,1,5176
"99",21,1976-10-09,0,1,0,1,5176
"100",22,1976-10-23,0,0,0,1,5176
"101",23,1976-11-06,0,1,0,1,5176
"102",24,1976-11-20,0,1,0,0,5176
"103",25,1976-12-04,0,1,0,0,5176
"104",26,1976-12-18,0,0,0,0,5165
"105",1,1977-01-01,0,0,0,0,5122
"106",2,1977-01-15,0,0,0,0,5122
"107",3,1977-01-29,0,0,0,0,5122
"108",4,1977-02-12,0,0,0,0,5488
"109",5,1977-02-27,0,0,0,0,5122
"110",6,1977-03-13,0,0,0,0,5122
"111",7,1977-03-27,0,1,0,0,5122
"112",8,1977-04-10,0,0,0,1,5122
"113",9,1977-04-24,0,1,0,1,5122
"114",10,1977-05-08,0,3,1,1,5122
"115",11,1977-05-22,0,4,1,1,5122
"116",12,1977-06-05,0,3,1,1,5122
"117",13,1977-06-19,0,2,0,2,5122
"118",14,1977-07-03,0,2,0,2,5122
"119",15,1977-07-17,0,3,1,2,5122
"120",16,1977-07-31,0,3,0,2,5122
"121",17,1977-08-14,0,1,0,1,5122
"122",18,1977-08-28,0,1,0,1,5122
"123",19,1977-09-11,0,3,0,1,5122
"124",20,1977-09-25,0,5,1,1,5122
"125",21,1977-10-09,0,3,1,1,5122
"126",22,1977-10-23,0,1,1,1,5122
"127",23,1977-11-06,0,0,1,0,5122
"128",24,1977-11-20,0,0,1,0,5122
"129",25,1977-12-04,0,0,0,0,5122
"130",26,1977-12-18,0,0,0,0,5134
"131",1,1978-01-01,0,0,0,0,5113
"132",2,1978-01-15,0,0,0,0,5113
"133",3,1978-01-29,0,0,0,0,5113
"134",4,1978-02-12,0,0,0,0,5113
"135",5,1978-02-26,0,1,0,0,5113
"136",6,1978-03-12,0,1,0,0,5113
"137",7,1978-03-26,0,0,0,0,5113
"138",8,1978-04-09,0,0,0,0,5113
"139",9,1978-04-23,0,0,0,0,5113
"140",10,1978-05-07,0,0,0,0,5113
"141",11,1978-05-21,0,1,0,0,5113
"142",12,1978-06-04,0,1,0,0,5113
"143",13,1978-06-18,0,1,0,0,5113
"144",14,1978-07-02,0,1,0,1,5113
"145",15,1978-07-16,0,3,0,1,5479
"146",16,1978-07-31,0,3,0,1,5113
"147",17,1978-08-14,0,2,0,1,5113
"148",18,1978-08-28,0,2,0,0,5113
"149",19,1978-09-11,0,4,0,0,5113
"150",20,1978-09-25,0,5,1,0,5113
"151",21,1978-10-09,0,3,0,0,5113
"152",22,1978-10-23,0,1,0,0,5113
"153",23,1978-11-06,0,0,0,0,5113
"154",24,1978-11-20,0,0,0,0,5113
"155",25,1978-12-04,0,0,0,0,5113
"156",26,1978-12-18,0,0,0,0,5122
"157",1,1979-01-01,0,0,0,0,5243
"158",2,1979-01-15,0,1,0,0,5243
"159",3,1979-01-29,0,1,0,0,5243
"160",4,1979-02-12,0,0,0,0,5243
"161",5,1979-02-26,0,0,0,0,5243
"162",6,1979-03-12,0,1,0,0,5243
"163",7,1979-03-26,0,1,0,0,5618
"164",8,1979-04-10,0,1,0,0,5243
"165",9,1979-04-24,0,0,0,0,5243
"166",10,1979-05-08,0,0,0,0,5243
"167",11,1979-05-22,0,0,0,0,5243
"168",12,1979-06-05,0,0,0,0,5243
"169",13,1979-06-19,0,1,0,0,5243
"170",14,1979-07-03,0,3,0,0,5243
"171",15,1979-07-17,0,4,0,0,5243
"172",16,1979-07-31,0,5,0,0,5243
"173",17,1979-08-14,1,4,0,0,5243
"174",18,1979-08-28,1,4,0,0,5243
"175",19,1979-09-11,0,6,0,0,5243
"176",20,1979-09-25,0,6,0,0,5243
"177",21,1979-10-09,0,5,0,0,5243
"178",22,1979-10-23,0,4,0,0,5243
"179",23,1979-11-06,0,4,0,0,5243
"180",24,1979-11-20,0,4,0,0,5243
"181",25,1979-12-04,0,4,0,0,5243
"182",26,1979-12-18,0,2,0,0,5251
"183",1,1980-01-01,0,2,0,0,4792
"184",2,1980-01-15,0,2,0,0,4792
"185",3,1980-01-29,1,2,0,0,5134
"186",4,1980-02-13,1,1,0,0,4792
"187",5,1980-02-27,2,4,0,0,4792
"188",6,1980-03-12,2,9,0,0,4792
"189",7,1980-03-26,3,13,0,0,4792
"190",8,1980-04-09,4,14,0,0,4792
"191",9,1980-04-23,4,12,1,0,5134
"192",10,1980-05-08,1,10,2,0,4792
"193",11,1980-05-22,0,9,2,0,4792
"194",12,1980-06-05,3,12,2,0,4792
"195",13,1980-06-19,7,15,1,0,4792
"196",14,1980-07-03,6,14,0,0,4792
"197",15,1980-07-17,1,10,0,0,4792
"198",16,1980-07-31,0,8,0,0,4792
"199",17,1980-08-14,2,9,1,0,4792
"200",18,1980-08-28,4,8,1,0,4792
"201",19,1980-09-11,3,6,0,0,4792
"202",20,1980-09-25,2,3,0,0,4792
"203",21,1980-10-09,2,2,0,0,4792
"204",22,1980-10-23,2,2,1,0,4792
"205",23,1980-11-06,1,1,0,0,4792
"206",24,1980-11-20,0,0,0,0,4792
"207",25,1980-12-04,0,0,0,0,4792
"208",26,1980-12-18,0,1,0,0,4786
"209",1,1981-01-01,0,0,0,0,5138
"210",2,1981-01-15,0,0,0,0,5138
"211",3,1981-01-29,1,0,0,0,5138
"212",4,1981-02-12,1,2,0,0,5138
"213",5,1981-02-26,0,3,0,0,5138
"214",6,1981-03-12,0,1,0,0,5138
"215",7,1981-03-26,0,1,0,0,5138
"216",8,1981-04-09,0,1,0,0,5138
"217",9,1981-04-23,1,2,1,0,5138
"218",10,1981-05-07,0,1,0,0,5138
"219",11,1981-05-21,0,0,0,0,5138
"220",12,1981-06-04,0,0,0,0,5138
"221",13,1981-06-18,0,1,0,0,5138
"222",14,1981-07-02,0,2,0,0,5138
"223",15,1981-07-16,0,1,0,0,5138
"224",16,1981-07-30,1,0,0,0,5138
"225",17,1981-08-13,1,0,0,0,5138
"226",18,1981-08-27,1,0,1,0,5138
"227",19,1981-09-10,1,0,0,0,5138
"228",20,1981-09-24,0,0,0,0,5138
"229",21,1981-10-08,0,1,0,0,5138
"230",22,1981-10-22,1,1,1,0,5138
"231",23,1981-11-05,0,1,0,0,5138
"232",24,1981-11-19,0,1,0,0,5505
"233",25,1981-12-04,0,1,0,0,5138
"234",26,1981-12-18,0,0,0,0,5132
"235",1,1982-01-01,0,0,0,0,5022
"236",2,1982-01-15,0,0,0,0,5381
"237",3,1982-01-30,0,1,0,0,5022
"238",4,1982-02-13,0,1,0,0,5022
"239",5,1982-02-27,0,0,0,0,5022
"240",6,1982-03-13,0,0,0,0,5022
"241",7,1982-03-27,0,0,0,0,5022
"242",8,1982-04-10,0,0,0,0,5022
"243",9,1982-04-24,0,0,0,0,5022
"244",10,1982-05-08,0,0,0,0,5022
"245",11,1982-05-22,1,0,0,0,5022
"246",12,1982-06-05,0,0,0,0,5022
"247",13,1982-06-19,0,0,1,0,5022
"248",14,1982-07-03,0,0,0,1,5022
"249",15,1982-07-17,0,0,0,1,5022
"250",16,1982-07-31,1,1,0,1,5022
"251",17,1982-08-14,0,1,0,1,5022
"252",18,1982-08-28,0,2,0,0,5022
"253",19,1982-09-11,1,2,0,0,5022
"254",20,1982-09-25,0,2,0,0,5022
"255",21,1982-10-09,0,2,0,0,5022
"256",22,1982-10-23,0,1,1,0,5022
"257",23,1982-11-06,0,1,0,0,5022
"258",24,1982-11-20,0,1,0,0,5022
"259",25,1982-12-04,0,1,0,0,5022
"260",26,1982-12-18,0,1,0,0,5033
"261",1,1983-01-01,0,1,0,0,4920
"262",2,1983-01-15,0,1,0,0,4920
"263",3,1983-01-29,0,0,0,0,4920
"264",4,1983-02-12,0,0,0,0,4920
"265",5,1983-02-26,1,1,1,0,4920
"266",6,1983-03-12,0,1,2,0,4920
"267",7,1983-03-26,0,1,2,1,4920
"268",8,1983-04-09,1,1,1,1,4920
"269",9,1983-04-23,1,0,0,1,4920
"270",10,1983-05-07,0,0,0,1,4920
"271",11,1983-05-21,0,0,0,1,4920
"272",12,1983-06-04,0,0,0,1,4920
"273",13,1983-06-18,0,1,0,0,4920
"274",14,1983-07-02,0,2,1,1,4920
"275",15,1983-07-16,0,5,3,1,4920
"276",16,1983-07-30,0,4,3,1,4920
"277",17,1983-08-13,0,1,1,1,5271
"278",18,1983-08-28,0,0,0,0,4920
"279",19,1983-09-11,0,1,0,0,4920
"280",20,1983-09-25,0,2,0,0,4920
"281",21,1983-10-09,0,1,0,0,4920
"282",22,1983-10-23,0,0,0,0,4920
"283",23,1983-11-06,0,0,1,0,4920
"284",24,1983-11-20,0,1,1,0,4920
"285",25,1983-12-04,0,2,0,0,4920
"286",26,1983-12-18,0,2,0,1,4914
"287",1,1984-01-01,0,2,0,1,4784
"288",2,1984-01-15,0,0,1,0,4784
"289",3,1984-01-29,0,0,0,0,4784
"290",4,1984-02-12,0,0,0,0,4784
"291",5,1984-02-26,0,0,0,0,4784
"292",6,1984-03-11,0,0,1,0,5126
"293",7,1984-03-26,0,0,2,0,4784
"294",8,1984-04-09,0,1,1,0,4784
"295",9,1984-04-23,0,2,0,0,4784
"296",10,1984-05-07,0,1,0,0,4784
"297",11,1984-05-21,0,0,1,1,4784
"298",12,1984-06-04,0,0,0,1,4784
"299",13,1984-06-18,0,1,0,2,4784
"300",14,1984-07-02,0,3,1,3,4784
"301",15,1984-07-16,0,5,4,5,4784
"302",16,1984-07-30,0,6,6,6,4784
"303",17,1984-08-13,0,6,4,5,4784
"304",18,1984-08-27,0,6,3,5,4784
"305",19,1984-09-10,0,6,3,6,5126
"306",20,1984-09-25,0,6,3,6,4784
"307",21,1984-10-09,0,3,3,4,4784
"308",22,1984-10-23,0,1,3,3,4784
"309",23,1984-11-06,0,1,2,2,4784
"310",24,1984-11-20,0,2,1,1,4784
"311",25,1984-12-04,0,1,1,1,4784
"312",26,1984-12-18,0,0,1,1,4779
"313",1,1985-01-01,0,1,1,2,4871
"314",2,1985-01-15,0,3,1,2,4871
"315",3,1985-01-29,0,4,1,2,4871
"316",4,1985-02-12,0,3,1,3,4871
"317",5,1985-02-26,0,2,1,4,4871
"318",6,1985-03-12,0,1,1,3,4871
"319",7,1985-03-26,0,1,1,3,4871
"320",8,1985-04-09,0,2,2,2,4871
"321",9,1985-04-23,0,2,3,1,4871
"322",10,1985-05-07,0,2,2,1,4871
"323",11,1985-05-21,0,1,0,2,4871
"324",12,1985-06-04,0,3,0,2,4871
"325",13,1985-06-18,0,4,0,1,4871
"326",14,1985-07-02,0,3,1,1,4871
"327",15,1985-07-16,0,1,1,1,4871
"328",16,1985-07-30,0,0,1,1,4871
"329",17,1985-08-13,0,0,1,1,4871
"330",18,1985-08-27,0,1,1,1,4871
"331",19,1985-09-10,0,2,1,1,4871
"332",20,1985-09-24,0,3,1,1,5219
"333",21,1985-10-09,0,4,1,1,4871
"334",22,1985-10-23,1,4,1,1,4871
"335",23,1985-11-06,0,2,1,1,4871
"336",24,1985-11-20,0,0,0,1,4871
"337",25,1985-12-04,0,0,1,0,4871
"338",26,1985-12-18,0,1,2,0,4861
"339",1,1986-01-01,0,2,2,0,4546
"340",2,1986-01-15,0,1,0,0,4546
"341",3,1986-01-29,0,0,0,0,4546
"342",4,1986-02-12,0,0,0,0,4546
"343",5,1986-02-26,0,1,0,0,4546
"344",6,1986-03-12,0,1,0,0,4546
"345",7,1986-03-26,0,1,0,0,4546
"346",8,1986-04-09,0,1,1,0,4546
"347",9,1986-04-23,0,2,2,0,4546
"348",10,1986-05-07,0,1,3,0,4546
"349",11,1986-05-21,0,0,3,0,4546
"350",12,1986-06-04,0,1,2,0,4546
"351",13,1986-06-18,0,3,1,0,4546
"352",14,1986-07-02,0,3,0,0,4870
"353",15,1986-07-17,0,2,0,0,4546
"354",16,1986-07-31,0,0,1,0,4546
"355",17,1986-08-14,1,0,3,0,4546
"356",18,1986-08-28,1,1,3,0,4546
"357",19,1986-09-11,1,4,2,0,4546
"358",20,1986-09-25,1,5,1,0,4546
"359",21,1986-10-09,3,3,3,0,4546
"360",22,1986-10-23,5,2,4,0,4546
"361",23,1986-11-06,5,3,3,0,4546
"362",24,1986-11-20,3,4,2,0,4546
"363",25,1986-12-04,2,4,4,0,4546
"364",26,1986-12-18,0,3,7,0,4536
"365",1,1987-01-01,0,2,7,0,4563
"366",2,1987-01-15,1,3,3,0,4563
"367",3,1987-01-29,1,3,3,0,4563
"368",4,1987-02-12,1,4,6,0,4563
"369",5,1987-02-26,0,4,7,0,4563
"370",6,1987-03-12,1,2,4,0,4563
"371",7,1987-03-26,2,2,3,0,4563
"372",8,1987-04-09,4,4,3,0,4563
"373",9,1987-04-23,5,6,4,0,4563
"374",10,1987-05-07,3,8,4,0,4563
"375",11,1987-05-21,1,9,4,0,4563
"376",12,1987-06-04,2,7,6,0,4563
"377",13,1987-06-18,4,5,8,0,4563
"378",14,1987-07-02,3,5,8,0,4889
"379",15,1987-07-17,1,7,7,0,4563
"380",16,1987-07-31,0,6,6,0,4563
"381",17,1987-08-14,1,4,5,0,4563
"382",18,1987-08-28,1,2,5,0,4563
"383",19,1987-09-11,1,1,5,0,4563
"384",20,1987-09-25,1,1,6,0,4563
"385",21,1987-10-09,1,3,7,0,4563
"386",22,1987-10-23,0,4,8,0,4563
"387",23,1987-11-06,0,3,6,0,4563
"388",24,1987-11-20,0,2,3,0,4563
"389",25,1987-12-04,1,2,1,0,4563
"390",26,1987-12-18,1,3,0,0,4563
"391",1,1988-01-01,1,3,1,0,4714
"392",2,1988-01-15,2,2,2,0,5050
"393",3,1988-01-30,1,1,3,0,4714
"394",4,1988-02-13,0,0,3,0,4714
"395",5,1988-02-27,0,1,2,0,4714
"396",6,1988-03-12,0,1,1,0,4714
"397",7,1988-03-26,0,2,1,0,4714
"398",8,1988-04-09,0,2,1,0,4714
"399",9,1988-04-23,0,1,1,0,4714
"400",10,1988-05-07,0,1,1,0,4714
"401",11,1988-05-21,0,1,1,0,4714
"402",12,1988-06-04,0,1,2,0,4714
"403",13,1988-06-18,0,2,2,0,4714
"404",14,1988-07-02,0,2,2,0,4714
"405",15,1988-07-16,1,2,2,0,4714
"406",16,1988-07-30,1,2,2,0,5050
"407",17,1988-08-14,1,4,3,0,4714
"408",18,1988-08-28,0,5,3,0,4714
"409",19,1988-09-11,0,6,2,0,4714
"410",20,1988-09-25,0,6,2,0,4714
"411",21,1988-10-09,1,4,2,0,4714
"412",22,1988-10-23,1,2,1,0,4714
"413",23,1988-11-06,0,1,1,0,4714
"414",24,1988-11-20,0,1,0,0,4714
"415",25,1988-12-04,0,1,0,0,4714
"416",26,1988-12-18,2,1,0,0,4708
"417",1,1989-01-01,2,1,1,0,5136
"418",2,1989-01-15,2,1,2,0,5136
"419",3,1989-01-29,2,1,2,0,5136
"420",4,1989-02-12,3,1,1,0,5136
"421",5,1989-02-26,4,2,0,0,5136
"422",6,1989-03-12,5,3,1,0,5136
"423",7,1989-03-26,6,3,2,0,5136
"424",8,1989-04-09,4,2,1,0,5136
"425",9,1989-04-23,2,2,0,0,5136
"426",10,1989-05-07,2,3,0,0,5136
"427",11,1989-05-21,3,5,1,0,5136
"428",12,1989-06-04,2,4,1,0,5136
"429",13,1989-06-18,1,3,1,0,5136
"430",14,1989-07-02,2,4,1,0,5503
"431",15,1989-07-17,6,8,2,0,5136
"432",16,1989-07-31,10,11,1,1,5136
"433",17,1989-08-14,13,13,1,1,5136
"434",18,1989-08-28,15,15,1,1,5136
"435",19,1989-09-11,13,16,3,1,5136
"436",20,1989-09-25,11,15,4,0,5136
"437",21,1989-10-09,11,11,3,0,5136
"438",22,1989-10-23,11,8,1,0,5136
"439",23,1989-11-06,9,9,1,0,5136
"440",24,1989-11-20,8,11,1,1,5136
"441",25,1989-12-04,7,9,1,1,5136
"442",26,1989-12-18,6,6,2,1,5134
"443",1,1990-01-01,5,5,2,0,5332
"444",2,1990-01-15,4,6,2,0,5332
"445",3,1990-01-29,6,7,2,0,5332
"446",4,1990-02-12,10,7,1,0,5332
"447",5,1990-02-26,12,6,2,0,5332
"448",6,1990-03-12,10,4,2,0,5332
"449",7,1990-03-26,8,3,2,0,5332
"450",8,1990-04-09,8,2,1,0,5332
"451",9,1990-04-23,9,3,0,0,5332
"452",10,1990-05-07,9,6,0,0,5332
"453",11,1990-05-21,10,9,1,0,5332
"454",12,1990-06-04,10,7,2,1,5332
"455",13,1990-06-18,11,5,2,1,5332
"456",14,1990-07-02,12,5,2,1,5332
"457",15,1990-07-16,13,9,2,2,5332
"458",16,1990-07-30,13,9,2,1,5332
"459",17,1990-08-13,12,7,1,1,5332
"460",18,1990-08-27,10,5,1,1,5332
"461",19,1990-09-10,8,6,2,1,5713
"462",20,1990-09-25,7,7,2,1,5332
"463",21,1990-10-09,5,8,1,0,5332
"464",22,1990-10-23,4,8,0,0,5332
"465",23,1990-11-06,3,7,1,0,5332
"466",24,1990-11-20,2,5,2,0,5332
"467",25,1990-12-04,4,3,2,0,5332
"468",26,1990-12-18,5,1,1,0,5324
"469",1,1991-01-01,4,1,0,0,5555
"470",2,1991-01-15,2,1,0,0,5555
"471",3,1991-01-29,1,2,0,0,5555
"472",4,1991-02-12,3,3,0,0,5555
"473",5,1991-02-26,3,2,0,0,5951
"474",6,1991-03-13,2,1,0,0,5555
"475",7,1991-03-27,1,0,1,0,5555
"476",8,1991-04-10,3,1,0,0,5555
"477",9,1991-04-24,4,2,0,0,5555
"478",10,1991-05-08,3,1,0,0,5555
"479",11,1991-05-22,2,0,0,0,5555
"480",12,1991-06-05,2,1,0,0,5555
"481",13,1991-06-19,3,1,1,0,5555
"482",14,1991-07-03,4,1,0,0,5555
"483",15,1991-07-17,4,0,0,1,5555
"484",16,1991-07-31,4,0,1,1,5555
"485",17,1991-08-14,4,1,2,1,5555
"486",18,1991-08-28,4,3,2,1,5555
"487",19,1991-09-11,3,4,1,1,5555
"488",20,1991-09-25,3,4,0,1,5555
"489",21,1991-10-09,2,3,0,1,5555
"490",22,1991-10-23,2,2,1,2,5555
"491",23,1991-11-06,1,2,0,2,5555
"492",24,1991-11-20,1,2,0,2,5555
"493",25,1991-12-04,2,2,0,1,5555
"494",26,1991-12-18,4,2,0,1,5547
"495",1,1992-01-01,4,2,1,1,5487
"496",2,1992-01-15,2,3,0,1,5487
"497",3,1992-01-29,2,2,0,1,5487
"498",4,1992-02-12,5,1,1,2,5487
"499",5,1992-02-26,6,1,1,2,5487
"500",6,1992-03-11,4,1,1,2,5487
"501",7,1992-03-25,1,1,1,1,5487
"502",8,1992-04-08,1,1,0,1,5487
"503",9,1992-04-22,1,0,0,0,5487
"504",10,1992-05-06,1,0,0,1,5487
"505",11,1992-05-20,0,0,0,1,5487
"506",12,1992-06-03,0,0,0,2,5487
"507",13,1992-06-17,1,0,0,3,5487
"508",14,1992-07-01,2,1,0,3,5487
"509",15,1992-07-15,3,1,1,2,5487
"510",16,1992-07-29,3,1,1,2,5487
"511",17,1992-08-12,4,1,2,3,5879
"512",18,1992-08-27,4,2,1,4,5487
"513",19,1992-09-10,4,2,0,4,5487
"514",20,1992-09-24,4,2,0,4,5487
"515",21,1992-10-08,4,2,1,4,5487
"516",22,1992-10-22,4,1,2,4,5879
"517",23,1992-11-06,3,1,1,4,5487
"518",24,1992-11-20,1,0,0,4,5487
"519",25,1992-12-04,2,0,0,4,5487
"520",26,1992-12-18,3,0,2,5,5481
"521",1,1993-01-01,3,1,3,4,5480
"522",2,1993-01-15,2,1,3,4,5480
"523",3,1993-01-29,2,1,2,3,5480
"524",4,1993-02-12,1,1,1,3,5480
"525",5,1993-02-26,2,0,1,3,5871
"526",6,1993-03-13,4,1,0,4,5480
"527",7,1993-03-27,4,0,0,4,5480
"528",8,1993-04-10,2,0,1,3,5480
"529",9,1993-04-24,1,0,1,3,5480
"530",10,1993-05-08,1,0,2,3,5480
"531",11,1993-05-22,2,0,2,3,5480
"532",12,1993-06-05,3,0,2,5,5480
"533",13,1993-06-19,2,1,1,7,5480
"534",14,1993-07-03,2,1,0,8,5480
"535",15,1993-07-17,2,0,0,8,5480
"536",16,1993-07-31,2,0,1,8,5480
"537",17,1993-08-14,2,0,3,8,5480
"538",18,1993-08-28,1,1,4,8,5480
"539",19,1993-09-11,1,2,3,7,5480
"540",20,1993-09-25,2,3,2,7,5480
"541",21,1993-10-09,5,2,3,7,5480
"542",22,1993-10-23,5,1,3,7,5480
"543",23,1993-11-06,3,1,2,6,5480
"544",24,1993-11-20,0,1,1,5,5480
"545",25,1993-12-04,0,2,1,5,5480
"546",26,1993-12-18,1,2,3,5,5469
"547",1,1994-01-01,1,1,3,4,5632
"548",2,1994-01-15,2,1,1,3,5632
"549",3,1994-01-29,2,0,0,2,5632
"550",4,1994-02-12,2,1,0,1,5632
"551",5,1994-02-26,1,0,1,1,5632
"552",6,1994-03-12,1,0,0,1,5632
"553",7,1994-03-26,0,0,0,1,5632
"554",8,1994-04-09,1,1,1,2,5632
"555",9,1994-04-23,1,2,1,2,5632
"556",10,1994-05-07,1,2,0,2,5632
"557",11,1994-05-21,0,2,0,2,5632
"558",12,1994-06-04,1,1,0,3,5632
"559",13,1994-06-18,1,0,1,4,5632
"560",14,1994-07-02,2,1,2,4,5632
"561",15,1994-07-16,1,1,1,3,5632
"562",16,1994-07-30,1,1,1,3,5632
"563",17,1994-08-13,1,1,2,3,5632
"564",18,1994-08-27,1,1,2,3,6035
"565",19,1994-09-11,2,3,2,3,5632
"566",20,1994-09-25,1,4,2,2,5632
"567",21,1994-10-09,1,3,1,2,5632
"568",22,1994-10-23,1,3,0,2,5632
"569",23,1994-11-06,2,2,0,1,5632
"570",24,1994-11-20,3,2,1,1,5632
"571",25,1994-12-04,3,2,2,1,5632
"572",26,1994-12-18,2,1,3,1,5639
"573",1,1995-01-01,1,1,3,1,5865
"574",2,1995-01-15,1,1,2,1,5865
"575",3,1995-01-29,1,0,2,1,5865
"576",4,1995-02-12,1,0,1,2,5865
"577",5,1995-02-26,1,0,1,2,6284
"578",6,1995-03-13,0,0,2,1,5865
"579",7,1995-03-27,0,0,2,1,5865
"580",8,1995-04-10,0,0,1,0,5865
"581",9,1995-04-24,1,1,1,0,5865
"582",10,1995-05-08,2,3,1,0,5865
"583",11,1995-05-22,2,4,2,0,5865
"584",12,1995-06-05,1,2,4,0,5865
"585",13,1995-06-19,0,1,6,0,5865
"586",14,1995-07-03,2,2,6,0,5865
"587",15,1995-07-17,5,6,6,0,5865
"588",16,1995-07-31,5,7,8,0,5865
"589",17,1995-08-14,3,5,12,0,5865
"590",18,1995-08-28,1,4,13,0,5865
"591",19,1995-09-11,1,3,9,1,5865
"592",20,1995-09-25,1,4,6,1,5865
"593",21,1995-10-09,2,6,6,1,5865
"594",22,1995-10-23,1,6,6,1,5865
"595",23,1995-11-06,1,5,3,1,5865
"596",24,1995-11-20,0,2,0,0,5865
"597",25,1995-12-04,0,1,0,0,5865
"598",26,1995-12-18,0,1,2,0,5874
"599",1,1996-01-01,0,1,2,0,5660
"600",2,1996-01-15,0,1,1,0,5660
"601",3,1996-01-29,0,0,0,0,5660
"602",4,1996-02-12,0,0,0,0,5660
"603",5,1996-02-26,1,1,0,0,5660
"604",6,1996-03-11,0,1,0,0,5660
