,DENV1/BOLIVIA/FSB3363/2010,DENV2/VIETNAM/AC21/2003,DENV2/SENEGAL/0674/1970,DENV4/DOMINICA/814669DELTA30/1981,DENV4/PUERTO_RICO/BIDV2446/1999,DENV1/VIETNAM/BIDV1937/2008,DENV2/VIETNAM/AC20/2003,DENV2/MALAYSIA/DKD811/2008,DENV4/NICARAGUA/703/1999,DENV2/PERU/IQT2913/1996,DENV1/PERU/IQT6152/2000,DENV4/CAMBODIA/NA/2010,DENV3/MYANMAR/80931/2008,DENV2/TONGA/DELTA30/1974,DENV1/VENEZUELA/OBT1298/2000,DENV4/CAMBODIA/AC33/2011,DENV1/PUERTO_RICO/BIDV852/2006,DENV2/NICARAGUA/BIDV533/2005,DENV4/BRAZIL/NA/2012,DENV2/CAMBODIA/D2T0601085/2009,DENV1/CAMBODIA/BIDV1991/2003,DENV4/INDONESIA/AC36/1973,DENV3/VIETNAM/BIDV1329/2006,DENV1/MYANMAR/61117/2005,DENV3/PUERTO_RICO/429965/2006,DENV1/NAURU/WESTERNPACIFICDELTA30/1974,DENV4/MALAYSIA/P731120/1973,DENV3/PUERTO_RICO/S228762/1963,DENV2/NICARAGUA/BIDV571/2006,DENV3/VIETNAM/BIDV1817/2007,DENV3/CAMBODIA/AC23/2011,DENV3/NICARAGUA/BIDV4753/2009,DENV2/VIETNAM/BIDV735/2006,DENV3/FIJI/29472/1992,DENV3/INDONESIA/SLEMANDELTA30/1978,DENV4/MYANMAR/81087/2008
DENV4/CAMBODIA/AC33/2011,0.0496814110259,0.0470957613815,0.902576415181,0.857142857143,0.853449071936,0.899806076277,0.047372795272,0.900914211839,0.0120971465509,0.897220426632,0.0507895465879,0.000923446301598,0.0493120325053,0.899898420907,0.0498661002863,0.0,,,,,,,,,,,,,,,,,,,,
DENV1/PUERTO_RICO/BIDV852/2006,0.851325145443,0.896851048112,0.320805245175,0.339089481947,0.334841628959,0.082648443993,0.896943392742,0.318219595531,0.898051528304,0.316188013667,0.854003139717,0.899436697756,0.892603195124,0.319512420353,0.852340936375,0.899621387016,0.0,,,,,,,,,,,,,,,,,,,
DENV2/NICARAGUA/BIDV533/2005,0.89601994644,0.854464862868,0.183581124758,0.332440668575,0.328746883369,0.315449256626,0.854095484348,0.186259119032,0.895373534029,0.106842737095,0.8962046357,0.895650567919,0.897405115893,0.105180533752,0.896296980331,0.89583525718,0.315079878105,0.0,,,,,,,,,,,,,,,,,,
DENV4/BRAZIL/NA/2012,0.0482962415736,0.0471881060116,0.90156062425,0.84975528673,0.844306953551,0.897774494413,0.0474651399021,0.900544833318,0.00350909594607,0.89574291255,0.0489426539847,0.0121894911811,0.0494043771355,0.899252008496,0.0483885862037,0.0124665250716,0.897682149783,0.89592760181,0.0,,,,,,,,,,,,,,,,,
DENV2/CAMBODIA/D2T0601085/2009,0.0465416936005,0.0111737002493,0.87884384523,0.893988364577,0.888447686767,0.895558223289,0.0110813556192,0.877366331148,0.0475574845323,0.862406501062,0.046818727491,0.0478345184228,0.0490349986148,0.865823252378,0.0470957613815,0.0480192076831,0.896758703481,0.860097885308,0.0471881060116,0.0,,,,,,,,,,,,,,,,
DENV1/CAMBODIA/BIDV1991/2003,0.861944777911,0.896574014221,0.316372702927,0.336780866193,0.333271770247,0.0273340105273,0.896666358851,0.316649736818,0.898882629975,0.318404284791,0.86148305476,0.898974974605,0.891125681042,0.319974143504,0.861575399391,0.899344353126,0.0799704497183,0.314156431803,0.898236217564,0.89601994644,0.0,,,,,,,,,,,,,,,
DENV4/INDONESIA/AC36/1973,0.0483885862037,0.0470957613815,0.901283590359,0.851971557854,0.848093083387,0.897497460523,0.0471881060116,0.901098901099,0.00683350263182,0.8962046357,0.049127343245,0.0108043217287,0.0495890663958,0.899344353126,0.0484809308339,0.0108043217287,0.897774494413,0.895373534029,0.00775694893342,0.0479268630529,0.898328562194,0.0,,,,,,,,,,,,,,
DENV3/VIETNAM/BIDV1329/2006,0.89029457937,0.89583525718,0.315541601256,0.332163634685,0.32920860652,0.274171206944,0.89611229107,0.317203804599,0.897497460523,0.313602364023,0.890386924,0.897405115893,0.853726105827,0.315449256626,0.891033336411,0.897035737372,0.273986517684,0.309262166405,0.897312771262,0.896481669591,0.273247760643,0.897405115893,0.0,,,,,,,,,,,,,
DENV1/MYANMAR/61117/2005,0.0123741804414,0.0469110721212,0.899621387016,0.895004155508,0.88992520085,0.854003139717,0.046818727491,0.897128082002,0.0492196878752,0.893896019946,0.0120048019208,0.0492196878752,0.0408163265306,0.897589805153,0.0121894911811,0.0494043771355,0.862129467171,0.89611229107,0.048573275464,0.0463570043402,0.851786868594,0.0484809308339,0.888909409918,0.0,,,,,,,,,,,,
DENV3/PUERTO_RICO/429965/2006,0.889186443808,0.894911810878,0.314618154954,0.334102871918,0.32930095115,0.277864992151,0.895188844769,0.321359312956,0.89601994644,0.316280358297,0.889278788438,0.89611229107,0.856588789362,0.318496629421,0.889463477699,0.89611229107,0.279250161603,0.312494228461,0.896389324961,0.894819466248,0.276572167328,0.897128082002,0.0675039246468,0.887247206575,0.0,,,,,,,,,,,
DENV1/NAURU/WESTERNPACIFICDELTA30/1974,0.865546218487,0.902207036661,0.315079878105,0.335580386001,0.339458860467,0.07516852895,0.902114692031,0.310370301967,0.903869240004,0.318866007942,0.864253393665,0.904515652415,0.89601994644,0.315172222735,0.865084495337,0.904700341675,0.079785760458,0.316003324407,0.903684550743,0.901283590359,0.0705512974421,0.903499861483,0.277772647521,0.864068704405,0.284790839413,0.0,,,,,,,,,,
DENV4/MALAYSIA/P731120/1973,0.896574014221,0.895465878659,0.334379905808,0.128174346662,0.134730815403,0.341490442331,0.895558223289,0.331794256164,0.866007941638,0.332348323945,0.896574014221,0.867577800351,0.896758703481,0.32930095115,0.896943392742,0.867762489611,0.342783267153,0.331055499123,0.867485455721,0.89592760181,0.34093637455,0.865546218487,0.333918182658,0.897128082002,0.333641148767,0.339366515837,0.0,,,,,,,,,
DENV3/PUERTO_RICO/S228762/1963,0.0400775694893,0.0464493489704,0.898513251454,0.896666358851,0.891772093453,0.889463477699,0.0465416936005,0.898697940715,0.0505125126974,0.895650567919,0.0407239819005,0.0505125126974,0.0141287284144,0.899713731647,0.0409086711608,0.0505125126974,0.89010989011,0.89611229107,0.0505125126974,0.0472804506418,0.889186443808,0.0498661002863,0.862406501062,0.0390617785576,0.860467263829,0.894542432358,0.897497460523,0.0,,,,,,,,
DENV2/NICARAGUA/BIDV571/2006,0.895465878659,0.854649552129,0.184504571059,0.332625357835,0.328931572629,0.315356911996,0.854280173608,0.185705051251,0.895373534029,0.107027426355,0.895558223289,0.89574291255,0.897497460523,0.105180533752,0.89574291255,0.89592760181,0.313787053283,0.0128359035922,0.89592760181,0.860190229938,0.313787053283,0.895465878659,0.308985132515,0.89574291255,0.31203250531,0.316095669037,0.331424877643,0.89583525718,0.0,,,,,,,
DENV3/VIETNAM/BIDV1817/2007,0.888909409918,0.894265398467,0.314525810324,0.333179425616,0.327915781697,0.275741065657,0.894542432358,0.31785021701,0.8962046357,0.313879397913,0.889001754548,0.89611229107,0.852063902484,0.316188013667,0.889648166959,0.89574291255,0.274540585465,0.308708098624,0.89601994644,0.894819466248,0.274632930095,0.89611229107,0.00784929356358,0.887616585096,0.0655646874134,0.278511404562,0.334102871918,0.86111367624,0.308061686213,0.0,,,,,,
DENV3/CAMBODIA/AC23/2011,0.0424785298735,0.0483885862037,0.898605596085,0.895004155508,0.89010989011,0.890940991781,0.0486656200942,0.899898420907,0.0488503093545,0.894911810878,0.0422938406132,0.0490349986148,0.00988087542709,0.898513251454,0.0426632191338,0.0486656200942,0.892603195124,0.897128082002,0.0490349986148,0.0479268630529,0.890756302521,0.0494043771355,0.857973958814,0.0406316372703,0.851048111552,0.89574291255,0.897312771262,0.0149598300859,0.896851048112,0.856311755471,0.0,,,,,
DENV3/NICARAGUA/BIDV4753/2009,0.886970172684,0.892880229015,0.324868408902,0.34112106381,0.341952165482,0.290516206483,0.893157262905,0.3297626743,0.893526641426,0.326345922985,0.886970172684,0.894173053837,0.85538830917,0.328192815588,0.887247206575,0.893988364577,0.292824822237,0.324406685751,0.894265398467,0.892787884385,0.28885400314,0.895004155508,0.0831101671438,0.885400313972,0.0346292363099,0.293655923908,0.341859820851,0.858528026595,0.324314341121,0.0837565795549,0.850309354511,0.0,,,,
DENV2/VIETNAM/BIDV735/2006,0.89592760181,0.859451472897,0.186720842183,0.33548804137,0.332071290054,0.31794256164,0.859359128267,0.186259119032,0.896481669591,0.100747991504,0.89583525718,0.896851048112,0.898328562194,0.101394403915,0.89592760181,0.897035737372,0.316465047557,0.0857881614184,0.896666358851,0.860005540678,0.316649736818,0.896851048112,0.313140640872,0.89583525718,0.312678917721,0.320066488134,0.333548804137,0.89611229107,0.084957059747,0.312771262351,0.897128082002,0.325884199834,0.0,,,
DENV3/FIJI/29472/1992,0.0424785298735,0.0482038969434,0.897589805153,0.89583525718,0.891310370302,0.890386924,0.0482962415736,0.899529042386,0.0500507895466,0.89611229107,0.0429402530243,0.0498661002863,0.0089574291255,0.899806076277,0.0431249422846,0.0498661002863,0.892880229015,0.896758703481,0.0502354788069,0.0479268630529,0.89020223474,0.0501431341767,0.857973958814,0.0402622587497,0.85538830917,0.89611229107,0.898236217564,0.0132052821128,0.896666358851,0.856127066211,0.0104349432081,0.854834241389,0.897589805153,0.0,,
DENV3/INDONESIA/SLEMANDELTA30/1978,0.0428479083941,0.0478345184228,0.898051528304,0.895650567919,0.891125681042,0.890940991781,0.0479268630529,0.899529042386,0.0498661002863,0.89611229107,0.0433096315449,0.0495890663958,0.00858805060486,0.899621387016,0.0433096315449,0.0494043771355,0.893064918275,0.896574014221,0.0500507895466,0.0481115523132,0.890940991781,0.0500507895466,0.857050512513,0.0410010157909,0.854741896759,0.896296980331,0.897220426632,0.0135746606335,0.896481669591,0.85520361991,0.0101579093176,0.854187828978,0.897589805153,0.00203158186351,0.0,
DENV4/MYANMAR/81087/2008,0.0500507895466,0.0488503093545,0.902761104442,0.856958167883,0.852895004156,0.899713731647,0.0489426539847,0.900914211839,0.0119124572906,0.898143872934,0.0509742358482,0.00461723150799,0.0501431341767,0.901283590359,0.0505125126974,0.00406316372703,0.899990765537,0.897128082002,0.0124665250716,0.0480192076831,0.899529042386,0.0103425985779,0.897866839043,0.0493120325053,0.896666358851,0.904607997045,0.86693138794,0.050881891218,0.897220426632,0.896574014221,0.0495890663958,0.894634776988,0.897866839043,0.0506048573275,0.0503278234371,0.0
