virus_strain	serum_strain	serum_id	source	titer
DENV4/CAMBODIA/NA/2010	DENV4/DOMINICA/814669DELTA30/1981	38	monovalent	34
DENV4/CAMBODIA/NA/2010	DENV4/DOMINICA/814669DELTA30/1981	43	monovalent	71
DENV4/CAMBODIA/NA/2010	DENV4/DOMINICA/814669DELTA30/1981	45	monovalent	30
DENV4/CAMBODIA/NA/2010	DENV4/DOMINICA/814669DELTA30/1981	51	monovalent	20
DENV4/CAMBODIA/NA/2010	DENV4/DOMINICA/814669DELTA30/1981	53	monovalent	25
DENV4/CAMBODIA/NA/2010	DENV4/DOMINICA/814669DELTA30/1981	58	monovalent	23
DENV4/CAMBODIA/NA/2010	DENV4/DOMINICA/814669DELTA30/1981	66	monovalent	31
DENV4/CAMBODIA/NA/2010	DENV4/DOMINICA/814669DELTA30/1981	67	monovalent	20
DENV4/CAMBODIA/NA/2010	DENV4/DOMINICA/814669DELTA30/1981	68	monovalent	28
DENV4/DOMINICA/814669DELTA30/1981	DENV4/DOMINICA/814669DELTA30/1981	36	monovalent	27
DENV4/DOMINICA/814669DELTA30/1981	DENV4/DOMINICA/814669DELTA30/1981	38	monovalent	22
DENV4/DOMINICA/814669DELTA30/1981	DENV4/DOMINICA/814669DELTA30/1981	43	monovalent	14
DENV4/DOMINICA/814669DELTA30/1981	DENV4/DOMINICA/814669DELTA30/1981	66	monovalent	28
DENV4/INDONESIA/AC36/1973	DENV4/DOMINICA/814669DELTA30/1981	36	monovalent	189
DENV4/INDONESIA/AC36/1973	DENV4/DOMINICA/814669DELTA30/1981	38	monovalent	36
DENV4/INDONESIA/AC36/1973	DENV4/DOMINICA/814669DELTA30/1981	43	monovalent	267
DENV4/INDONESIA/AC36/1973	DENV4/DOMINICA/814669DELTA30/1981	45	monovalent	40
DENV4/INDONESIA/AC36/1973	DENV4/DOMINICA/814669DELTA30/1981	51	monovalent	27
DENV4/INDONESIA/AC36/1973	DENV4/DOMINICA/814669DELTA30/1981	53	monovalent	24
DENV4/INDONESIA/AC36/1973	DENV4/DOMINICA/814669DELTA30/1981	58	monovalent	35
DENV4/INDONESIA/AC36/1973	DENV4/DOMINICA/814669DELTA30/1981	66	monovalent	42
DENV4/INDONESIA/AC36/1973	DENV4/DOMINICA/814669DELTA30/1981	67	monovalent	32
DENV4/INDONESIA/AC36/1973	DENV4/DOMINICA/814669DELTA30/1981	68	monovalent	34
DENV4/PUERTO_RICO/347751/1998	DENV4/DOMINICA/814669DELTA30/1981	36	monovalent	88
DENV4/PUERTO_RICO/347751/1998	DENV4/DOMINICA/814669DELTA30/1981	38	monovalent	24
DENV4/PUERTO_RICO/347751/1998	DENV4/DOMINICA/814669DELTA30/1981	43	monovalent	77
DENV4/PUERTO_RICO/347751/1998	DENV4/DOMINICA/814669DELTA30/1981	45	monovalent	19
DENV4/PUERTO_RICO/347751/1998	DENV4/DOMINICA/814669DELTA30/1981	51	monovalent	15
DENV4/PUERTO_RICO/347751/1998	DENV4/DOMINICA/814669DELTA30/1981	53	monovalent	11
DENV4/PUERTO_RICO/347751/1998	DENV4/DOMINICA/814669DELTA30/1981	58	monovalent	17
DENV4/PUERTO_RICO/347751/1998	DENV4/DOMINICA/814669DELTA30/1981	66	monovalent	17
DENV4/PUERTO_RICO/347751/1998	DENV4/DOMINICA/814669DELTA30/1981	67	monovalent	13
DENV4/PUERTO_RICO/347751/1998	DENV4/DOMINICA/814669DELTA30/1981	68	monovalent	13
DENV4/PUERTO_RICO/BIDV2446/1999	DENV4/DOMINICA/814669DELTA30/1981	36	monovalent	391
DENV4/PUERTO_RICO/BIDV2446/1999	DENV4/DOMINICA/814669DELTA30/1981	38	monovalent	39
DENV4/PUERTO_RICO/BIDV2446/1999	DENV4/DOMINICA/814669DELTA30/1981	43	monovalent	241
DENV4/PUERTO_RICO/BIDV2446/1999	DENV4/DOMINICA/814669DELTA30/1981	45	monovalent	88
DENV4/PUERTO_RICO/BIDV2446/1999	DENV4/DOMINICA/814669DELTA30/1981	51	monovalent	21
DENV4/PUERTO_RICO/BIDV2446/1999	DENV4/DOMINICA/814669DELTA30/1981	58	monovalent	37
DENV4/PUERTO_RICO/BIDV2446/1999	DENV4/DOMINICA/814669DELTA30/1981	66	monovalent	15
DENV4/PUERTO_RICO/BIDV2446/1999	DENV4/DOMINICA/814669DELTA30/1981	67	monovalent	69
DENV4/PUERTO_RICO/BIDV2446/1999	DENV4/DOMINICA/814669DELTA30/1981	68	monovalent	25
DENV4/MALAYSIA/P731120/1973	DENV4/DOMINICA/814669DELTA30/1981	36	monovalent	22
DENV4/MALAYSIA/P731120/1973	DENV4/DOMINICA/814669DELTA30/1981	43	monovalent	45
DENV4/MALAYSIA/P731120/1973	DENV4/DOMINICA/814669DELTA30/1981	45	monovalent	13
DENV4/MALAYSIA/P731120/1973	DENV4/DOMINICA/814669DELTA30/1981	51	monovalent	11
DENV4/MALAYSIA/P731120/1973	DENV4/DOMINICA/814669DELTA30/1981	58	monovalent	18
DENV4/MALAYSIA/P731120/1973	DENV4/DOMINICA/814669DELTA30/1981	68	monovalent	10
DENV4/THAILAND/D85052/1985	DENV4/DOMINICA/814669DELTA30/1981	36	monovalent	275
DENV4/THAILAND/D85052/1985	DENV4/DOMINICA/814669DELTA30/1981	38	monovalent	42
DENV4/THAILAND/D85052/1985	DENV4/DOMINICA/814669DELTA30/1981	43	monovalent	184
DENV4/THAILAND/D85052/1985	DENV4/DOMINICA/814669DELTA30/1981	45	monovalent	21
DENV4/THAILAND/D85052/1985	DENV4/DOMINICA/814669DELTA30/1981	51	monovalent	41
DENV4/THAILAND/D85052/1985	DENV4/DOMINICA/814669DELTA30/1981	53	monovalent	12
DENV4/THAILAND/D85052/1985	DENV4/DOMINICA/814669DELTA30/1981	58	monovalent	72
DENV4/THAILAND/D85052/1985	DENV4/DOMINICA/814669DELTA30/1981	66	monovalent	16
DENV4/THAILAND/D85052/1985	DENV4/DOMINICA/814669DELTA30/1981	67	monovalent	28
DENV4/THAILAND/D85052/1985	DENV4/DOMINICA/814669DELTA30/1981	68	monovalent	33
DENV1/BOLIVIA/FSB3363/2010	DENV1/PERU/IQT6152/2000	1	agm_3mo	386
DENV1/MYANMAR/61117/2005	DENV1/PERU/IQT6152/2000	1	agm_3mo	1194
DENV1/CAMBODIA/BIDV1991/2003	DENV1/PERU/IQT6152/2000	1	agm_3mo	462
DENV1/NAURU/WESTERNPACIFICDELTA30/1974	DENV1/PERU/IQT6152/2000	1	agm_3mo	139
DENV1/PERU/IQT6152/2000	DENV3/FIJI/29472/1992	1	agm_3mo	43
DENV1/THAILAND/16007/1964	DENV3/FIJI/29472/1992	1	agm_3mo	22
DENV1/THAILAND/16007/1964	DENV1/PERU/IQT6152/2000	1	agm_3mo	2123
DENV1/VENEZUELA/OBT1298/2000	DENV1/PERU/IQT6152/2000	1	agm_3mo	334
DENV1/VIETNAM/BIDV1937/2008	DENV3/FIJI/29472/1992	1	agm_3mo	11
DENV1/VIETNAM/BIDV1937/2008	DENV1/PERU/IQT6152/2000	1	agm_3mo	343
DENV2/CAMBODIA/D2T0601085/2009	DENV1/PERU/IQT6152/2000	1	agm_3mo	17
DENV2/GUYANA/08221/2000	DENV1/PERU/IQT6152/2000	1	agm_3mo	10
DENV2/INDIA/742295/1974	DENV1/PERU/IQT6152/2000	1	agm_3mo	13
DENV2/PAPUANEWGUINEA/NEWGUINEAC/1944	DENV1/PERU/IQT6152/2000	1	agm_3mo	11
DENV2/NICARAGUA/BIDV533/2005	DENV1/PERU/IQT6152/2000	1	agm_3mo	10
DENV2/PERU/IQT2913/1996	DENV1/PERU/IQT6152/2000	1	agm_3mo	34
DENV2/SENEGAL/0674/1970	DENV1/PERU/IQT6152/2000	1	agm_3mo	101
DENV2/SENEGAL/0674/1970	DENV2/SENEGAL/0674/1970	1	agm_3mo	16
DENV2/TONGA/DELTA30/1974	DENV1/PERU/IQT6152/2000	1	agm_3mo	24
DENV2/VIETNAM/AC21/2003	DENV3/FIJI/29472/1992	1	agm_3mo	14
DENV2/VIETNAM/AC21/2003	DENV1/PERU/IQT6152/2000	1	agm_3mo	76
DENV2/VIETNAM/AC21/2003	DENV2/SENEGAL/0674/1970	1	agm_3mo	15
DENV2/VIETNAM/AC20/2003	DENV1/PERU/IQT6152/2000	1	agm_3mo	16
DENV3/MYANMAR/80931/2008	DENV3/FIJI/29472/1992	1	agm_3mo	28
DENV3/CAMBODIA/AC23/2011	DENV3/FIJI/29472/1992	1	agm_3mo	11
DENV3/FIJI/29472/1992	DENV3/FIJI/29472/1992	1	agm_3mo	59
DENV3/FIJI/29472/1992	DENV1/PERU/IQT6152/2000	1	agm_3mo	13
DENV3/NICARAGUA/BIDV4753/2009	DENV3/FIJI/29472/1992	1	agm_3mo	16
DENV3/PUERTO_RICO/429965/2006	DENV3/FIJI/29472/1992	1	agm_3mo	26
DENV3/PUERTO_RICO/429965/2006	DENV1/PERU/IQT6152/2000	1	agm_3mo	11
DENV3/PUERTO_RICO/S228762/1963	DENV3/FIJI/29472/1992	1	agm_3mo	18
DENV3/INDONESIA/SLEMANDELTA30/1978	DENV3/FIJI/29472/1992	1	agm_3mo	17
DENV3/VIETNAM/BIDV1329/2006	DENV3/FIJI/29472/1992	1	agm_3mo	39
DENV3/VIETNAM/BIDV1329/2006	DENV1/PERU/IQT6152/2000	1	agm_3mo	12
DENV3/VIETNAM/BIDV1329/2006	DENV2/SENEGAL/0674/1970	1	agm_3mo	10
DENV3/VIETNAM/BIDV1817/2007	DENV3/FIJI/29472/1992	1	agm_3mo	43
DENV4/CAMBODIA/AC33/2011	DENV1/PERU/IQT6152/2000	1	agm_3mo	10
DENV4/INDONESIA/S1228/1978	DENV3/FIJI/29472/1992	1	agm_3mo	12
DENV4/MALAYSIA/P731120/1973	DENV3/FIJI/29472/1992	1	agm_3mo	12
