virus_strain,serum_strain,titer
DENV1/VIETNAM/BIDV1937/2008,DENV3/VIETNAM/BIDV1817/2007,3.90689059561
DENV1/VIETNAM/BIDV1937/2008,DENV4/DOMINICA/814669DELTA30/1981,3.66296501272
DENV2/BRAZIL/BR161/2004,DENV2/MALAYSIA/DKD811/2008,4.32192809489
DENV2/BRAZIL/BR161/2004,DENV2/NICARAGUA/BIDV571/2006,5.72792045456
DENV2/BRAZIL/BR161/2004,DENV2/PERU/IQT2913/1996,3.80735492206
DENV2/BRAZIL/BR161/2004,DENV2/TONGA/DELTA30/1974,3.70043971814
DENV2/BRAZIL/BR161/2004,DENV2/VIETNAM/AC20/2003,4.64385618977
DENV2/BRAZIL/BR161/2004,DENV2/VIETNAM/AC21/2003,3.45943161864
DENV2/BRAZIL/BR161/2004,DENV2/VIETNAM/BIDV735/2006,9.2714630279
DENV2/CAMBODIA/BIDV3924/2008,DENV1/NAURU/WESTERNPACIFICDELTA30/1974,3.95419631039
DENV2/CAMBODIA/BIDV3924/2008,DENV2/NICARAGUA/BIDV571/2006,3.90689059561
DENV2/CAMBODIA/BIDV3924/2008,DENV2/TONGA/DELTA30/1974,5.36632221425
DENV2/CAMBODIA/BIDV3924/2008,DENV2/VIETNAM/AC20/2003,3.58496250072
DENV2/CAMBODIA/BIDV3924/2008,DENV2/VIETNAM/BIDV735/2006,7.67948009951
DENV2/CAMBODIA/BIDV3924/2008,DENV3/INDONESIA/SLEMANDELTA30/1978,4.45943161864
DENV2/CAMBODIA/BIDV3924/2008,DENV4/DOMINICA/814669DELTA30/1981,3.52356195606
DENV2/CAMBODIA/BIDV4265/2007,DENV2/NICARAGUA/BIDV571/2006,4.58496250072
DENV2/CAMBODIA/BIDV4265/2007,DENV2/TONGA/DELTA30/1974,3.79007693063
DENV2/CAMBODIA/BIDV4265/2007,DENV2/VIETNAM/AC20/2003,3.32192809489
DENV2/CAMBODIA/BIDV4265/2007,DENV2/VIETNAM/BIDV735/2006,8.23361967676
DENV2/CAMBODIA/D2T0601085/2009,DENV1/PERU/IQT6152/2000,4.08746284125
DENV2/CAMBODIA/D2T0601085/2009,DENV2/NICARAGUA/BIDV533/2005,3.45943161864
DENV2/CAMBODIA/D2T0601085/2009,DENV2/NICARAGUA/BIDV571/2006,4.95419631039
DENV2/CAMBODIA/D2T0601085/2009,DENV2/VIETNAM/AC20/2003,4.0
