,DENV4/CAMBODIA/NA/2010,DENV4/CAMBODIA/AC33/2011,DENV4/INDONESIA/AC36/1973,DENV4/DOMINICA/814669DELTA30/1981,DENV4/NICARAGUA/703/1999,DENV4/BRAZIL/NA/2012,DENV4/PUERTO_RICO/BIDV2446/1999,DENV2/SENEGAL/0674/1970,DENV2/MALAYSIA/DKD811/2008,DENV2/PERU/IQT2913/1996,DENV2/TONGA/DELTA30/1974,DENV2/VIETNAM/BIDV735/2006,DENV2/CAMBODIA/D2T0601085/2009,DENV2/VIETNAM/AC21/2003,DENV2/VIETNAM/AC20/2003,DENV2/NICARAGUA/BIDV533/2005,DENV2/NICARAGUA/BIDV571/2006,DENV3/CAMBODIA/AC23/2011,DENV3/NICARAGUA/BIDV4753/2009,DENV3/PUERTO_RICO/429965/2006,DENV3/FIJI/29472/1992,DENV3/INDONESIA/SLEMANDELTA30/1978,DENV3/MYANMAR/80931/2008,DENV3/VIETNAM/BIDV1329/2006,DENV3/VIETNAM/BIDV1817/2007,DENV1/VIETNAM/BIDV1937/2008,DENV1/MYANMAR/61117/2005,DENV1/CAMBODIA/BIDV1991/2003,DENV1/NAURU/WESTERNPACIFICDELTA30/1974,DENV1/PERU/IQT6152/2000,DENV1/BOLIVIA/FSB3363/2010,DENV1/PUERTO_RICO/BIDV852/2006
DENV2/VIETNAM/AC20/2003,,,1.13750352375,0.656938079505,,,,,-0.50523530825,0.392317422779,0.570887315509,-0.394278939112,2.36564947232,3.95806931953,0.0,-1.06413033742,-1.02424754625,,,,,0.42734439473,,3.74250377771,3.44745897697,4.64385618977,,,0.0848888975865,7.05188865591,,2.73696559417
DENV2/GUYANA/08221/2000,1.62803122261,,,0.656938079505,,0.241008099504,,,,,1.27858206496,2.09262454637,1.2587342684,,0.186413124231,,-0.326810316267,3.28824496863,,,,0.430719121511,,,,,,,-0.341036917835,7.72996056102,,
DENV2/BRAZIL/BR161/2004,,,,,,,,,0.6322682155,0.584962500721,2.4194446008,-0.0547171697091,,5.08360020162,0.400537929584,,0.154722594799,,,,,,,,,,,,,,,
DENV2/NICARAGUA/BIDV533/2005,,,,0.971741739958,,,,,0.49476469175,0.584962500721,0.936662494887,1.28896789611,,4.37310681881,0.796466605915,0.0,-0.526747886776,,,,,0.776493958353,,3.98351187721,,,,,0.537656785943,7.72996056102,,3.0
DENV2/NICARAGUA/BIDV571/2006,,,,0.829722735086,,,,,0.706268796943,0.304854581528,0.25198785495,1.41908433234,,4.54303182026,0.13750352375,-0.34792330342,0.0,,,,,0.633536004511,,3.98351187721,,,,,0.321928094887,,,3.44745897697
DENV3/PUERTO_RICO/S228762/1963,,,,0.420331798948,,,-1.96347412397,,0.561878887608,0.807354922058,1.38291872478,5.12928301694,,5.22110372537,,-0.540568381363,,,,,1.71271804792,-0.586910772511,,1.23349013022,0.86249647625,5.12928301694,,,0.415037499279,,,
DENV3/CAMBODIA/AC23/2011,,,,,,,,,,,2.11988431894,,,,,,,0.0,0.807354922058,1.75207248656,2.42321143072,-0.169058257625,0.65207669658,2.19501598241,3.0,,,,,,,
DENV3/NICARAGUA/BIDV4753/2009,,,,0.807354922058,,,,,,1.07038932789,1.26190332382,5.89481776331,,,,,,0.798860127892,0.0,0.272079545437,1.88264304936,-0.583401986734,0.371968777387,2.63558857379,2.20645087747,,,,0.134301091712,,,
DENV3/PUERTO_RICO/429965/2006,,,,0.852442811586,,,,,,,1.31252939689,5.51630614005,,,,,,0.465122730715,-0.192645077942,0.0,1.18220333122,-1.11427697189,-0.125530882084,1.29319637634,,,,,0.0,7.59245703727,,
DENV3/FIJI/29472/1992,,,,1.11547721742,,,,,,,2.00440710152,,,5.22110372537,,,,0.613645255425,0.392317422779,1.14201900487,0.0,-0.445898462984,-0.750021746992,1.3136604789,-0.0703893278914,,5.2288186905,,0.49185309633,7.35144893776,,2.81942775436
DENV3/INDONESIA/SLEMANDELTA30/1978,,,,0.922832139478,,,,,,,-0.621582667458,5.75731423956,,,,,,1.18132976471,,2.75207248656,1.79518020811,0.0,0.758991900496,2.08539149123,1.32192809489,,,,,,,
DENV3/MYANMAR/80931/2008,,,,,,,,,,,,,,,,,,0.344828496997,0.691877704638,1.32757465803,1.0752881273,,0.0,2.39854937649,1.69743722998,,,,,,,
DENV3/VIETNAM/BIDV1329/2006,,,,0.0703893278914,,,,0.678071905113,1.25375659225,,0.91433540777,5.30985526259,2.60665757182,4.0194698642,1.2370391973,,2.0752881273,0.721898146077,0.48542682717,1.41503749928,0.5972408305,-1.18080159069,-0.898120385981,0.0,0.234465253637,5.12928301694,5.2288186905,,-0.18903382439,7.46692615518,,2.04890960048
DENV3/VIETNAM/BIDV1817/2007,1.50250034053,,,0.553598329812,,0.241008099504,-0.13750352375,,1.25375659225,,1.27021859203,5.17235173884,,,,,2.0752881273,0.966316873744,-0.251538766996,-0.0223678130285,0.45637829466,-1.32504406811,-1.03242147769,0.903784684741,0.0,,4.55074678538,,-0.015941543869,,,2.81942775436
DENV1/VIETNAM/BIDV1937/2008,,,,0.844829627476,,,,,1.6322682155,1.07038932789,1.62803122261,5.75731423956,,,,,2.42321143072,,,,2.42321143072,0.902024840437,,,3.0,0.0,1.66810373602,0.0,-0.325770161182,2.62982388973,-0.234465253637,-0.772589503897
DENV1/MYANMAR/61117/2005,,,,,,,,,,,,,,,1.72246602447,,,3.66675659188,,,,,,,3.58496250072,-0.152415233154,0.0,-0.928446738975,,0.830301534641,-1.91253715875,-1.22753572461
DENV1/CAMBODIA/BIDV1995/2003,,,,,,,,,,,,5.75731423956,,5.22110372537,,,,,,,,,,,,1.07617168049,,,0.447458976971,,,-0.552541023029
DENV1/CAMBODIA/BIDV1991/2003,,,,0.572334892393,,,,,,,0.970137199438,,,,,,,,,,,0.554101537016,,,,1.72329065727,1.65592902208,0.0,-0.987927167699,2.20013961449,0.0,1.23446525364
DENV1/NAURU/WESTERNPACIFICDELTA30/1974,,,,,,,,,,,2.16568800856,,,,,,,,,,,0.606568956911,,,,2.80735492206,2.90689059561,0.784271308945,0.0,3.93294758318,0.387023123109,1.54933859099
DENV1/THAILAND/16007/1964,1.76553474636,,,0.62243720614,,,,,1.49476469175,0.691877704638,-0.16551789992,4.46185835603,,5.08360020162,0.956931278108,0.0,1.97575245375,3.18132976471,0.932885804141,,1.42321143072,0.0216064561894,,2.48874718546,1.54933859099,-0.242275845667,-0.0229004021101,-1.85315861167,-3.7889176738,0.0,-2.14135584925,-1.85466063684
DENV1/PERU/IQT6152/2000,,,0.65207669658,,,0.11547721742,-0.584962500721,,0.706268796943,0.807354922058,1.03242147769,2.87689585531,,,-0.381870635344,-0.86249647625,0.753360032417,,,,0.45637829466,,,3.3554806546,1.07400058144,-0.0204641025597,,,-0.678071905113,,,-1.7041342017
DENV1/VENEZUELA/OBT1298/2000,,,,0.835369298227,,,,,,,1.04663533691,,,,,,,,,,,0.902024840437,,,,2.16580889297,2.93603694127,1.36923380967,-0.6322682155,2.66818436343,0.0874628412503,1.44745897697
DENV1/BOLIVIA/FSB3363/2010,,,,,,,,,,,0.693619564241,5.40939093614,,,,,,,,,,,,3.98351187721,,1.97547768087,1.78256246061,1.49476469175,0.0588936890536,2.45943161864,0.0,1.35230174393
DENV1/PUERTO_RICO/BIDV852/2006,,,,0.779874185635,,,,,,,1.15641019497,,,,,,,3.40372218605,,,,0.577185150129,,,,1.58084639225,1.93603694127,,-0.688055993685,,,0.0
