,DENV1_I,DENV1_II,DENV1_IV,DENV1_V,DENV2_AMERICAN,DENV2_ASIANAMERICAN,DENV2_ASIANI,DENV2_ASIANII,DENV2_COSMOPOLITAN,DENV3_I,DENV3_II,DENV3_III,DENV3_V,DENV4_I,DENV4_II,DENV4_III
1996.416667/1991.416667,0.6883090535526907,,,,,,1.1141264014807384,,,,,,,,,
1996.666667/1991.666667,0.563426129254728,,,,,,1.3429390217388961,,,,,,,,,
1996.916667/1991.916667,0.44436129649370576,,,,,,1.7437521234789881,,,,,,,,,
1997.166667/1992.166667,0.5284992885733881,,,,,,1.227905760957751,,,,,,,,,
1997.416667/1992.416667,0.7343240492591243,,,,,,0.7455968122673096,,,,,,,,,
1997.666667/1992.666667,0.8791965966094463,,,,,,0.611673444123905,,,,,,,,,
1997.916667/1992.916667,0.9369250147846903,,,,,,0.5979226844111196,,,,,,,,,
1998.166667/1993.166667,0.9614155604264194,,,,,,0.5960746366501005,,,,,,,,,
1998.416667/1993.416667,0.9824767497952025,,,,,,0.5994851037956507,,,,2.3977420425215126,,,,,
1998.666667/1993.666667,1.0464839853242736,,,2.1545901637624856,,,0.5965287959362647,,,,1.539080368784856,,,,,
1998.916667/1993.916667,1.1889371125715533,,,2.2385352463824804,,,0.5905078244079783,,,,1.1102351481938693,,,,,
1999.166667/1994.166667,1.4765255296650586,,,2.7450695275878503,,,0.48644461642252634,,,,1.1665310365562533,,,,,
1999.416667/1994.416667,1.4632129497626425,,1.4632129497626427,2.8839967536181983,,,0.4723627949288547,,,,1.223001562825866,,,,,
1999.666667/1994.666667,1.434227811762697,,1.4342278117626972,,,0.4717900703732529,0.4717900297321257,,,,1.3033919564466716,,,,,
1999.916667/1994.916667,1.4158957549841107,,1.415895754984111,,,0.477804476548379,0.4778044451436162,,,,1.443834843568339,,,,,
2000.166667/1995.166667,1.0824374997489736,,1.0824374997489736,,,0.5720353344581365,0.5720353071304243,,,,1.49874805726978,,,,,
2000.416667/1995.416667,0.8153005920073979,,0.8153005920073978,1.7990575199780714,,,0.7119930503567915,,,,1.541806447932453,,,,,
2000.666667/1995.666667,0.7439039112595472,,0.7439039112595474,1.5832529324823195,,,0.711274805969181,,,,1.4684792645789468,,,,,
2000.916667/1995.916667,0.5145736225541854,,0.5145736225541854,1.091844705538023,,,1.4910393339371544,,,,1.083499547929953,,,,,
2001.166667/1996.166667,0.3095228030529136,,0.3095228030529135,0.9493811160919506,,,,,,,0.6761110816609779,,,,,
2001.416667/1996.416667,0.5062409936598565,,0.5062409936598564,,,,,,,,0.6351626157513712,,,,,
2001.666667/1996.666667,0.6073177933371154,,0.6073177933371154,,,,,,,0.6846314562732746,0.6846315084342867,,,,,1.6313109120469007
2001.916667/1996.916667,0.6914771539170769,,0.6914771539170769,,,,,,,0.4814169591657629,0.4814169935477034,,,,,0.8735004719077671
2002.166667/1997.166667,0.7700383909577793,,0.7700383909577793,,,,,,,0.484661163934878,0.48466119689234205,,,,,0.5423789870656206
2002.416667/1997.416667,0.7244962430741565,,0.7244962430741564,,,,,,,0.49271610533825067,0.4927161368384854,,,,,0.5955782755875183
2002.666667/1997.666667,0.6494241404312527,,0.6494241404312526,,,,,,,0.4663788717474766,0.46637889891292056,,,,,1.10782732319525
2002.916667/1997.916667,0.6473419495672347,,0.6473419495672346,,,,2.5136601442360464,,2.734708264462168,0.618353109660943,0.6183531396386255,,,,,
2003.166667/1998.166667,0.808730486599275,,0.8087304865992752,,,,1.5073138251730849,,1.4706988678015158,0.7158549331924854,0.7158549675929369,,,,,
2003.416667/1998.416667,0.9044670262249702,,0.9044670262249701,,,,1.1006949086623254,,1.3188025607359304,0.7080934367239528,0.708093473482668,,,,,
2003.666667/1998.666667,0.9623290538505553,,0.9623290538505553,,,,0.8843222172351319,,1.3399323291112344,0.6712890347088152,0.6712890729125109,,,,,
2003.916667/1998.916667,1.0560607125323336,,1.0560607125323336,,,,0.7140726639846491,,1.385432869412078,0.6406376204154975,0.6406376604586353,,,,,
2004.166667/1999.166667,1.268145229006457,,1.268145229006457,,,,0.5867547180741448,,1.4255270681945091,0.5223839723472824,0.522384006435711,,,,,
2004.416667/1999.416667,1.4325115692013697,,,,,0.5607082344966695,0.560708343519837,,1.6545194934447864,0.44149380532920285,0.4414938346758748,,,,,
2004.666667/1999.666667,1.662931890192687,,,,,0.559393811677162,0.5593939308092252,,1.983530237509542,0.39446786074259277,0.3944678874206476,,,,,
2004.916667/1999.916667,1.9751527377668725,,,,,0.5792664744307162,0.5792666100417736,,2.471413971471192,0.3704541755574645,0.37045420107213084,,,0.98064303392073,,
2005.166667/2000.166667,2.093044967717353,,,,,0.6348475613693753,0.6348477277560984,,2.506283412260105,0.3401737326092554,0.34017375544984524,,,0.830027551663512,,
2005.416667/2000.416667,2.0972117612782806,,,,,0.7280285513000668,0.72802876004329,,2.4614565374849717,0.30598341126172546,0.30598343093231173,,,0.8156792312800835,,
2005.666667/2000.666667,2.108112795868123,,,,,0.8699396102710434,0.8699398811433801,,2.474346589941096,0.2759357065930625,0.27593572347866846,,,0.8214510361465964,1.2079794702364446,
2005.916667/2000.916667,2.14176389691213,,,,,1.078461891064254,1.078462251594963,,2.5987401738172444,0.24913466793616126,0.2491346824013226,,,0.8445188488898618,1.2230021236668978,
2006.166667/2001.166667,1.6581720684211572,,,,,1.2076573942031443,1.2076577758263196,,,0.2621389476280089,0.2621389641962055,,,0.8444839480271011,1.2376540825034428,
2006.416667/2001.416667,1.2905721482464974,,,,,1.0020139929076812,1.002014275861826,,,0.3239619940139133,0.32396201667688895,,,1.0283586679653451,,
2006.666667/2001.666667,1.0573245488406473,,,,,0.8553552486900485,0.8553554578806105,,,0.5012312698287797,0.5012313084312048,,,1.0827494237458797,,
2006.916667/2001.916667,1.2604223988946424,,,,,0.7148180865610178,0.7148182410937912,,,0.8025217607404485,0.8025218281659161,,,1.0000178832074593,,
2007.166667/2002.166667,1.755577284975868,,,,,0.4859144454717192,0.48591457583735204,,,,,,,1.314635710716252,,
2007.416667/2002.416667,2.0286615410064397,,,,,0.3563148633976003,0.3563149825620356,,,,,,,,,
2007.666667/2002.666667,1.927879231017774,,,,,0.3277657687979679,,,,,,,,,,
2007.916667/2002.916667,1.2966784933042341,,1.2966784933042341,,,0.4178786249900879,,,,,,,,,,
