,DENV1_I,DENV1_II,DENV1_III,DENV1_IV,DENV1_V,DENV2_AMERICAN,DENV2_ASIANAMERICAN,DENV2_ASIANI,DENV2_ASIANII,DENV2_COSMOPOLITAN,DENV2_SYLVATIC,DENV3_I,DENV3_II,DENV3_III,DENV3_V,DENV4_I,DENV4_II,DENV4_SYLVATIC
1972.0833,0.0015,0.0006,0.061,0.045,0.0011,0.0,0.0,0.0,0.0,0.0,0.0006,0.0007,0.0023,0.0016,0.0001,0.0005,0.0044,0.0028
1972.1667,0.0015,0.0006,0.0604,0.0427,0.001,0.0,0.0,0.0,0.0,0.0,0.0006,0.0008,0.0028,0.0018,0.0001,0.0006,0.0051,0.0033
1972.25,0.0014,0.0006,0.0596,0.0401,0.001,0.0,0.0,0.0001,0.0,0.0,0.0007,0.0009,0.0033,0.002,0.0001,0.0006,0.0057,0.0038
1972.3333,0.0013,0.0005,0.0584,0.0373,0.0009,0.0,0.0001,0.0001,0.0,0.0,0.0008,0.001,0.0038,0.0022,0.0002,0.0007,0.0063,0.0043
1972.4167,0.0013,0.0005,0.0568,0.0344,0.0009,0.0,0.0001,0.0002,0.0001,0.0,0.001,0.0011,0.0044,0.0023,0.0002,0.0007,0.0069,0.0048
1972.5,0.0012,0.0005,0.055,0.0313,0.0008,0.0,0.0002,0.0003,0.0001,0.0001,0.0013,0.0011,0.0049,0.0024,0.0002,0.0007,0.0073,0.0052
1972.5833,0.0011,0.0004,0.053,0.0282,0.0007,0.0,0.0004,0.0006,0.0002,0.0001,0.0017,0.0012,0.0054,0.0025,0.0002,0.0007,0.0078,0.0057
1972.6667,0.0011,0.0004,0.058,0.0288,0.0008,0.0,0.0007,0.001,0.0004,0.0002,0.0023,0.0015,0.0067,0.0029,0.0002,0.0008,0.0093,0.007
1972.75,0.0012,0.0005,0.0647,0.0297,0.0008,0.0,0.0012,0.0016,0.0007,0.0003,0.0032,0.0018,0.0085,0.0035,0.0003,0.001,0.0114,0.0087
1972.8333,0.0012,0.0005,0.0716,0.0302,0.0009,0.0,0.0018,0.0025,0.0011,0.0004,0.0042,0.0021,0.0106,0.0041,0.0004,0.0011,0.0137,0.0108
1972.9167,0.0013,0.0005,0.0786,0.0303,0.001,0.0,0.0027,0.0036,0.0015,0.0006,0.0055,0.0025,0.0131,0.0047,0.0004,0.0013,0.0163,0.0131
1973.0,0.0013,0.0005,0.0854,0.0299,0.001,0.0,0.0037,0.0051,0.0021,0.0008,0.007,0.003,0.0159,0.0053,0.0005,0.0014,0.0191,0.0158
1973.0833,0.0013,0.0005,0.0834,0.0311,0.001,0.0,0.0059,0.008,0.0034,0.0013,0.0105,0.0036,0.0203,0.0064,0.0006,0.0017,0.0243,0.0205
1973.1667,0.0014,0.0005,0.0806,0.032,0.001,0.0,0.0086,0.0117,0.0049,0.0019,0.015,0.0043,0.0252,0.0074,0.0007,0.002,0.0301,0.026
1973.25,0.0014,0.0005,0.0773,0.0325,0.0009,0.0,0.0119,0.0161,0.0068,0.0027,0.0203,0.005,0.0305,0.0083,0.0008,0.0024,0.0365,0.0323
1973.3333,0.0014,0.0005,0.0733,0.0326,0.0009,0.0,0.0157,0.0212,0.009,0.0035,0.0266,0.0057,0.0362,0.0091,0.0009,0.0027,0.0435,0.0394
1973.4167,0.0014,0.0005,0.0688,0.0323,0.0008,0.0,0.0199,0.0269,0.0114,0.0045,0.0338,0.0063,0.042,0.0099,0.001,0.003,0.0511,0.0475
1973.5,0.0014,0.0005,0.0637,0.0314,0.0008,0.0,0.0244,0.033,0.0139,0.0055,0.0418,0.0068,0.0477,0.0104,0.0011,0.0033,0.0595,0.0566
1973.5833,0.0013,0.0005,0.0584,0.0302,0.0007,0.0,0.0291,0.0395,0.0167,0.0066,0.0506,0.0072,0.0535,0.0108,0.0011,0.0035,0.068,0.0662
1973.6667,0.0012,0.0005,0.0526,0.0285,0.0006,0.0,0.034,0.0461,0.0194,0.0077,0.0601,0.0075,0.0587,0.0109,0.0011,0.0038,0.0773,0.0772
1973.75,0.0012,0.0004,0.0469,0.0266,0.0006,0.0,0.0389,0.0526,0.0222,0.0088,0.0703,0.0077,0.0636,0.0109,0.0012,0.0039,0.0868,0.0886
1973.8333,0.001,0.0004,0.0411,0.0243,0.0005,0.0,0.0436,0.059,0.0249,0.01,0.081,0.0077,0.0677,0.0106,0.0011,0.0041,0.0966,0.1011
1973.9167,0.0009,0.0004,0.0354,0.0218,0.0004,0.0,0.0481,0.0651,0.0275,0.0111,0.0922,0.0075,0.0708,0.0102,0.0011,0.0042,0.1068,0.1144
1974.0,0.0008,0.0003,0.0295,0.0188,0.0004,0.0,0.0534,0.0723,0.0305,0.0124,0.1059,0.0071,0.0705,0.0093,0.001,0.0041,0.1135,0.1246
1974.0833,0.0008,0.0003,0.0285,0.0189,0.0003,0.0,0.0635,0.086,0.0363,0.0175,0.0881,0.0066,0.0577,0.0083,0.001,0.0039,0.0993,0.1144
1974.1667,0.0009,0.0003,0.0303,0.0208,0.0004,0.0,0.0743,0.1006,0.0425,0.0239,0.0763,0.0068,0.0518,0.0081,0.001,0.0041,0.0954,0.1153
1974.25,0.0009,0.0004,0.032,0.0226,0.0004,0.0,0.0854,0.1157,0.0488,0.0319,0.0652,0.0068,0.046,0.0078,0.0009,0.0043,0.0918,0.1165
1974.3333,0.001,0.0004,0.0336,0.0245,0.0004,0.0,0.0966,0.1308,0.0552,0.0417,0.0548,0.0068,0.0405,0.0075,0.0009,0.0044,0.0881,0.1174
1974.4167,0.001,0.0004,0.0351,0.0264,0.0004,0.0,0.1075,0.1456,0.0614,0.0532,0.0451,0.0067,0.0354,0.0071,0.0009,0.0046,0.0846,0.1184
1974.5,0.0011,0.0004,0.0366,0.0283,0.0005,0.0,0.1179,0.1597,0.0674,0.0666,0.0363,0.0065,0.0306,0.0066,0.0009,0.0047,0.081,0.1191
1974.5833,0.0011,0.0004,0.038,0.0301,0.0005,0.0,0.1276,0.1728,0.073,0.0817,0.0284,0.0062,0.0262,0.0061,0.0008,0.0048,0.0775,0.1198
1974.6667,0.0012,0.0004,0.0394,0.032,0.0005,0.0,0.1363,0.1845,0.0781,0.0986,0.0213,0.0059,0.0223,0.0055,0.0008,0.005,0.0739,0.12
1974.75,0.0012,0.0005,0.0408,0.0339,0.0005,0.0,0.1438,0.1945,0.0824,0.117,0.015,0.0055,0.0187,0.005,0.0007,0.005,0.0704,0.1202
1974.8333,0.0013,0.0005,0.0421,0.0358,0.0005,0.0,0.1497,0.2025,0.0859,0.1367,0.0097,0.0051,0.0154,0.0044,0.0006,0.0051,0.0668,0.1201
1974.9167,0.0013,0.0005,0.0434,0.0377,0.0006,0.0,0.154,0.2083,0.0885,0.1573,0.0051,0.0046,0.0126,0.0038,0.0006,0.0051,0.0632,0.1197
1975.0,0.0013,0.0005,0.0445,0.0393,0.0006,0.0,0.1562,0.2098,0.0911,0.177,0.0013,0.0041,0.0101,0.0033,0.0005,0.0052,0.0606,0.121
1975.0833,0.0015,0.0005,0.0435,0.0382,0.0006,0.0,0.145,0.199,0.0803,0.1988,0.0012,0.0044,0.0097,0.0034,0.0005,0.0064,0.0711,0.1169
1975.1667,0.0017,0.0006,0.0422,0.0368,0.0006,0.0,0.1338,0.1875,0.0702,0.2207,0.0011,0.0047,0.0093,0.0035,0.0006,0.0078,0.0823,0.1118
1975.25,0.0019,0.0006,0.0407,0.0352,0.0006,0.0,0.1224,0.1751,0.0608,0.2425,0.001,0.005,0.009,0.0035,0.0006,0.0094,0.0944,0.1058
1975.3333,0.0021,0.0007,0.0393,0.0337,0.0006,0.0,0.1112,0.1622,0.0521,0.2638,0.001,0.0053,0.0086,0.0036,0.0006,0.0111,0.1069,0.0988
1975.4167,0.0023,0.0007,0.0378,0.0322,0.0006,0.0,0.1001,0.1487,0.0441,0.2845,0.0009,0.0056,0.0082,0.0037,0.0006,0.013,0.1197,0.0909
1975.5,0.0025,0.0007,0.0362,0.0305,0.0006,0.0,0.0893,0.1351,0.037,0.3042,0.0008,0.0059,0.0078,0.0037,0.0007,0.0151,0.1327,0.0824
1975.5833,0.0028,0.0007,0.0346,0.0288,0.0007,0.0,0.0789,0.1214,0.0306,0.323,0.0008,0.0062,0.0075,0.0037,0.0007,0.0173,0.1457,0.0733
1975.6667,0.003,0.0008,0.033,0.0271,0.0007,0.0,0.0688,0.1077,0.0249,0.3401,0.0007,0.0066,0.0072,0.0038,0.0007,0.0197,0.1581,0.0637
1975.75,0.0031,0.0008,0.0313,0.0254,0.0007,0.0,0.0593,0.0942,0.02,0.3559,0.0006,0.007,0.0068,0.0038,0.0008,0.0221,0.1699,0.054
1975.8333,0.0033,0.0008,0.0294,0.0236,0.0007,0.0,0.0503,0.0811,0.0157,0.3699,0.0006,0.0074,0.0065,0.0039,0.0008,0.0246,0.1812,0.0444
1975.9167,0.0034,0.0008,0.0276,0.0218,0.0008,0.0,0.0419,0.0686,0.0121,0.3819,0.0005,0.0079,0.0063,0.0039,0.0008,0.0271,0.1911,0.0351
1976.0,0.0035,0.0008,0.0257,0.02,0.0008,0.0,0.0342,0.0568,0.0091,0.3887,0.0004,0.0083,0.006,0.004,0.0009,0.0298,0.2015,0.0266
1976.0833,0.0037,0.0008,0.0248,0.019,0.0007,0.0,0.0388,0.0653,0.0094,0.3673,0.0005,0.0096,0.0062,0.0044,0.001,0.0359,0.1988,0.024
1976.1667,0.0039,0.0008,0.0239,0.018,0.0007,0.0,0.0434,0.0739,0.0096,0.3442,0.0005,0.0109,0.0063,0.0047,0.0011,0.0426,0.1949,0.0214
1976.25,0.004,0.0008,0.0227,0.0168,0.0006,0.0,0.0478,0.0824,0.0096,0.3196,0.0006,0.0122,0.0064,0.005,0.0013,0.0497,0.1897,0.0189
1976.3333,0.0041,0.0008,0.0216,0.0157,0.0006,0.0,0.0519,0.0905,0.0094,0.2938,0.0006,0.0135,0.0064,0.0053,0.0014,0.0572,0.1834,0.0166
1976.4167,0.0042,0.0007,0.0204,0.0146,0.0005,0.0,0.0555,0.098,0.009,0.2675,0.0007,0.015,0.0064,0.0056,0.0015,0.0648,0.1756,0.0143
1976.5,0.0042,0.0007,0.0191,0.0134,0.0005,0.0,0.0587,0.1047,0.0085,0.2407,0.0007,0.0164,0.0062,0.0058,0.0016,0.0728,0.167,0.0122
1976.5833,0.0042,0.0007,0.0179,0.0122,0.0004,0.0,0.0613,0.1103,0.0078,0.2142,0.0007,0.0178,0.0061,0.006,0.0018,0.0807,0.158,0.0102
1976.6667,0.0042,0.0007,0.0165,0.011,0.0004,0.0,0.0632,0.1147,0.0071,0.188,0.0007,0.0192,0.0059,0.0061,0.0019,0.0884,0.1478,0.0084
1976.75,0.0041,0.0006,0.0151,0.0099,0.0003,0.0,0.0644,0.1177,0.0062,0.1628,0.0006,0.0206,0.0056,0.0062,0.002,0.096,0.1373,0.0067
1976.8333,0.0039,0.0006,0.0137,0.0087,0.0003,0.0,0.0647,0.1192,0.0054,0.1388,0.0006,0.0219,0.0053,0.0062,0.0021,0.1036,0.1266,0.0052
1976.9167,0.0037,0.0005,0.0121,0.0075,0.0003,0.0,0.0641,0.119,0.0045,0.1164,0.0005,0.0231,0.005,0.0061,0.0022,0.1106,0.1156,0.0038
1977.0,0.0034,0.0005,0.0107,0.0065,0.0002,0.0,0.0627,0.1171,0.0037,0.0958,0.0005,0.0241,0.0046,0.006,0.0023,0.1175,0.1052,0.0027
1977.0833,0.004,0.0005,0.0117,0.0069,0.0002,0.0,0.0616,0.115,0.0036,0.1022,0.0006,0.0276,0.0047,0.0064,0.0026,0.1158,0.1214,0.0025
1977.1667,0.0045,0.0006,0.0125,0.0072,0.0003,0.0,0.0599,0.1119,0.0034,0.1079,0.0006,0.031,0.0046,0.0067,0.0029,0.1128,0.1388,0.0023
1977.25,0.005,0.0006,0.0133,0.0074,0.0003,0.0,0.0577,0.1079,0.0033,0.1126,0.0007,0.0344,0.0045,0.0069,0.0032,0.1083,0.1568,0.0021
1977.3333,0.0054,0.0006,0.0137,0.0074,0.0003,0.0,0.055,0.1029,0.0031,0.1164,0.0008,0.0374,0.0043,0.0069,0.0034,0.1029,0.1757,0.0019
1977.4167,0.0057,0.0006,0.0139,0.0072,0.0003,0.0,0.0519,0.0972,0.0029,0.1189,0.0008,0.0401,0.004,0.0069,0.0037,0.0965,0.1952,0.0016
1977.5,0.0059,0.0006,0.0138,0.007,0.0003,0.0,0.0485,0.0908,0.0026,0.1202,0.0008,0.0422,0.0037,0.0066,0.0038,0.089,0.2155,0.0014
1977.5833,0.006,0.0006,0.0135,0.0066,0.0003,0.0,0.0448,0.0838,0.0024,0.1202,0.0008,0.0438,0.0033,0.0063,0.0039,0.0806,0.2353,0.0012
1977.6667,0.006,0.0006,0.0129,0.0061,0.0003,0.0,0.0408,0.0765,0.0021,0.1187,0.0008,0.0445,0.0029,0.0058,0.004,0.0718,0.2551,0.001
1977.75,0.0058,0.0006,0.0121,0.0054,0.0002,0.0,0.0368,0.0689,0.0019,0.1157,0.0007,0.0445,0.0025,0.0053,0.0039,0.0625,0.2743,0.0007
1977.8333,0.0055,0.0005,0.011,0.0048,0.0002,0.0,0.0326,0.0612,0.0016,0.1114,0.0007,0.0435,0.0021,0.0046,0.0038,0.0532,0.2934,0.0005
1977.9167,0.005,0.0004,0.0095,0.004,0.0002,0.0,0.0285,0.0536,0.0014,0.1056,0.0006,0.0417,0.0017,0.004,0.0036,0.044,0.3111,0.0004
1978.0,0.0044,0.0004,0.0081,0.0033,0.0002,0.0,0.0241,0.0452,0.0011,0.0956,0.0006,0.039,0.0013,0.0033,0.0033,0.0357,0.3337,0.0002
1978.0833,0.0054,0.0004,0.0096,0.0037,0.0002,0.0,0.0224,0.0421,0.001,0.0726,0.0006,0.0537,0.0015,0.004,0.0046,0.0392,0.3287,0.0002
1978.1667,0.006,0.0005,0.0105,0.0038,0.0002,0.0,0.0238,0.0449,0.001,0.0632,0.0007,0.0682,0.0016,0.0045,0.0058,0.047,0.355,0.0002
1978.25,0.0066,0.0005,0.0111,0.0039,0.0002,0.0,0.0251,0.0474,0.001,0.0543,0.0007,0.0838,0.0016,0.0049,0.007,0.0558,0.379,0.0001
1978.3333,0.0068,0.0005,0.0112,0.0037,0.0002,0.0,0.0262,0.0496,0.001,0.0459,0.0008,0.0991,0.0015,0.005,0.0082,0.0655,0.4036,0.0001
1978.4167,0.0069,0.0005,0.0109,0.0034,0.0002,0.0,0.0271,0.0513,0.001,0.0382,0.0009,0.1139,0.0014,0.005,0.0094,0.0764,0.4263,0.0001
1978.5,0.0071,0.0004,0.0109,0.0033,0.0002,0.0,0.03,0.0568,0.001,0.0335,0.0011,0.1353,0.0013,0.005,0.0111,0.0886,0.4167,0.0001
1978.5833,0.0075,0.0004,0.0113,0.0032,0.0003,0.0,0.0357,0.0677,0.0011,0.0312,0.0014,0.1709,0.0014,0.0054,0.0139,0.0997,0.3657,0.0001
1978.6667,0.0077,0.0004,0.0114,0.003,0.0003,0.0,0.0419,0.0796,0.0012,0.028,0.0018,0.2103,0.0013,0.0056,0.017,0.1093,0.3168,0.0001
1978.75,0.0076,0.0004,0.0108,0.0027,0.0002,0.0,0.0486,0.0925,0.0013,0.0241,0.0023,0.2517,0.0012,0.0057,0.0201,0.1172,0.2716,0.0
1978.8333,0.007,0.0003,0.0098,0.0023,0.0002,0.0,0.0558,0.1061,0.0013,0.0196,0.0029,0.2952,0.0012,0.0057,0.0235,0.1227,0.2288,0.0
1978.9167,0.0063,0.0003,0.0085,0.0019,0.0002,0.0,0.0732,0.1395,0.0015,0.0171,0.0042,0.2567,0.001,0.0052,0.0241,0.1449,0.2182,0.0
1979.0,0.0051,0.0002,0.0069,0.0014,0.0002,0.0,0.1029,0.1964,0.0017,0.0141,0.0065,0.1655,0.0007,0.0041,0.0204,0.1772,0.2167,0.0
1979.0833,0.006,0.0002,0.0078,0.0015,0.0002,0.0,0.1147,0.2189,0.0021,0.013,0.0099,0.1515,0.0007,0.0046,0.024,0.1725,0.1828,0.0
1979.1667,0.0073,0.0003,0.0093,0.0017,0.0003,0.0,0.1122,0.2138,0.0023,0.0116,0.0134,0.1469,0.0008,0.0055,0.0293,0.1786,0.1642,0.0
1979.25,0.0086,0.0003,0.0108,0.0018,0.0003,0.0,0.1092,0.2079,0.0025,0.0102,0.0175,0.1402,0.0009,0.0064,0.0347,0.1848,0.147,0.0
1979.3333,0.0101,0.0003,0.0124,0.0019,0.0004,0.0,0.1059,0.2013,0.0026,0.0089,0.0221,0.1319,0.0009,0.0073,0.0402,0.1907,0.1314,0.0001
1979.4167,0.0116,0.0003,0.014,0.002,0.0004,0.0,0.1022,0.1942,0.0027,0.0077,0.0273,0.1225,0.001,0.0082,0.0454,0.1963,0.1167,0.0001
1979.5,0.0131,0.0003,0.0156,0.002,0.0005,0.0,0.0982,0.1864,0.0028,0.0066,0.0332,0.112,0.001,0.009,0.0503,0.2021,0.1033,0.0001
1979.5833,0.0146,0.0004,0.0171,0.002,0.0006,0.0,0.094,0.1781,0.0029,0.0055,0.0395,0.101,0.0011,0.0098,0.0546,0.2078,0.091,0.0001
1979.6667,0.0158,0.0003,0.0182,0.0019,0.0007,0.0,0.0895,0.1694,0.0029,0.0045,0.0465,0.0896,0.0011,0.0106,0.0581,0.2139,0.0799,0.0001
1979.75,0.0172,0.0003,0.0195,0.0019,0.0007,0.0,0.0848,0.1604,0.003,0.0036,0.0539,0.0783,0.0011,0.0113,0.0608,0.2198,0.0698,0.0001
1979.8333,0.0181,0.0003,0.0202,0.0017,0.0008,0.0,0.08,0.151,0.003,0.0028,0.0618,0.0671,0.0011,0.0118,0.0624,0.2271,0.0606,0.0001
1979.9167,0.0189,0.0003,0.0209,0.0015,0.0009,0.0,0.075,0.1414,0.003,0.0022,0.0702,0.0569,0.0011,0.0122,0.0634,0.2328,0.0517,0.0001
1980.0,0.0208,0.0003,0.0226,0.0015,0.0011,0.0,0.082,0.1544,0.0036,0.0019,0.0936,0.0506,0.0011,0.0134,0.0677,0.1548,0.0362,0.0
1980.0833,0.0231,0.0003,0.0248,0.0014,0.0009,0.0,0.0812,0.1516,0.0048,0.0021,0.1691,0.0442,0.0011,0.0141,0.0531,0.1177,0.0338,0.0
1980.1667,0.024,0.0003,0.0255,0.0012,0.0008,0.0,0.0738,0.1364,0.0058,0.0021,0.2759,0.037,0.0011,0.0141,0.0399,0.0848,0.0295,0.0
1980.25,0.0259,0.0002,0.0273,0.0011,0.0007,0.0,0.0631,0.1153,0.0063,0.002,0.3648,0.0325,0.001,0.0145,0.0315,0.0642,0.027,0.0
1980.3333,0.0297,0.0002,0.031,0.001,0.0007,0.0,0.0541,0.0976,0.0067,0.0019,0.4178,0.0308,0.0011,0.0161,0.0268,0.0515,0.0259,0.0
1980.4167,0.0353,0.0002,0.0366,0.001,0.0007,0.0,0.0471,0.0835,0.0071,0.0018,0.4449,0.0307,0.0012,0.0185,0.0239,0.0426,0.0256,0.0
1980.5,0.0458,0.0002,0.0472,0.001,0.0008,0.0,0.0435,0.0759,0.0079,0.0017,0.4224,0.0334,0.0014,0.0234,0.0234,0.0383,0.0273,0.0
1980.5833,0.058,0.0002,0.0593,0.001,0.001,0.0,0.04,0.0685,0.0086,0.0017,0.3994,0.0357,0.0016,0.0288,0.0223,0.0337,0.0286,0.0
1980.6667,0.072,0.0002,0.0733,0.001,0.0011,0.0,0.0366,0.0614,0.0091,0.0016,0.3761,0.0375,0.0018,0.0348,0.021,0.0287,0.029,0.0
1980.75,0.0872,0.0002,0.0883,0.0009,0.0012,0.0,0.0332,0.0545,0.0095,0.0015,0.3526,0.0387,0.0019,0.0413,0.0193,0.0238,0.0287,0.0
1980.8333,0.1092,0.0002,0.1102,0.0008,0.0014,0.0,0.0301,0.0482,0.0098,0.0014,0.3,0.0415,0.0022,0.051,0.0184,0.0206,0.0297,0.0
1980.9167,0.1455,0.0002,0.1463,0.0007,0.0018,0.0,0.0258,0.0402,0.0095,0.0012,0.2059,0.0471,0.0027,0.067,0.0185,0.0187,0.0325,0.0
1981.0,0.1849,0.0001,0.1855,0.0005,0.0021,0.0,0.0197,0.0299,0.0081,0.001,0.1262,0.051,0.003,0.0841,0.0177,0.0161,0.0341,0.0
1981.0833,0.1757,0.0001,0.1763,0.0005,0.002,0.0,0.0225,0.033,0.0103,0.0011,0.1339,0.0564,0.0031,0.0798,0.0173,0.0209,0.0546,0.0
1981.1667,0.1645,0.0001,0.1651,0.0004,0.0019,0.0,0.0253,0.036,0.0128,0.0013,0.1417,0.0612,0.0031,0.0744,0.0164,0.025,0.0809,0.0
1981.25,0.1514,0.0001,0.1519,0.0004,0.0018,0.0,0.0284,0.0389,0.0157,0.0014,0.1498,0.065,0.003,0.068,0.0152,0.0277,0.1131,0.0
1981.3333,0.1368,0.0001,0.1373,0.0004,0.0016,0.0,0.0315,0.0416,0.0191,0.0016,0.1581,0.0674,0.0029,0.0608,0.0136,0.0287,0.1511,0.0
1981.4167,0.1206,0.0001,0.1211,0.0003,0.0014,0.0,0.0348,0.0442,0.0228,0.0018,0.1667,0.068,0.0027,0.0529,0.0118,0.0281,0.1952,0.0
1981.5,0.1041,0.0001,0.1045,0.0003,0.0012,0.0,0.0381,0.0463,0.027,0.0019,0.1755,0.0668,0.0024,0.0448,0.0098,0.0254,0.2421,0.0
1981.5833,0.0868,0.0001,0.0872,0.0003,0.001,0.0,0.0415,0.0482,0.0317,0.0021,0.1845,0.0634,0.0021,0.0366,0.0078,0.0211,0.2929,0.0
1981.6667,0.0731,0.0001,0.0733,0.0002,0.0009,0.0,0.0434,0.0481,0.0356,0.0022,0.1725,0.0605,0.0018,0.03,0.0062,0.016,0.359,0.0
1981.75,0.066,0.0,0.0662,0.0002,0.0008,0.0,0.0374,0.0393,0.0327,0.0019,0.1035,0.0618,0.0017,0.0263,0.0051,0.0107,0.4876,0.0
1981.8333,0.0618,0.0,0.0621,0.0002,0.0007,0.0,0.0341,0.0339,0.0318,0.0017,0.0652,0.0654,0.0016,0.0238,0.0043,0.006,0.56,0.0001
1981.9167,0.0637,0.0001,0.0639,0.0002,0.0008,0.0,0.0354,0.0332,0.035,0.0017,0.0456,0.076,0.0017,0.0235,0.0038,0.0029,0.569,0.0001
1982.0,0.0672,0.0001,0.0674,0.0002,0.0008,0.0,0.0375,0.0333,0.039,0.0018,0.0317,0.0916,0.0018,0.024,0.0034,0.0013,0.5571,0.0001
1982.0833,0.0523,0.0001,0.0525,0.0002,0.0007,0.0,0.0275,0.0269,0.026,0.0015,0.0196,0.0702,0.0016,0.0194,0.0024,0.0012,0.6637,0.0001
1982.1667,0.0458,0.0001,0.046,0.0002,0.0006,0.0,0.0239,0.0256,0.0205,0.0015,0.0143,0.0609,0.0015,0.0178,0.0019,0.0013,0.7051,0.0001
